priority	visual_key	current_image_id	current_src	current_dimensions	current_status	current_review_status	target_image_id	target_src	target_dimensions	target_status_after_acceptance	source_type	rights_status_after_acceptance	action	notes
1	market_food	market-food-01	/assets/event-visuals/market-food-01.webp	1448x1086	ready	accepted_phase1	market-food-01-16x9	/assets/event-visuals/market-food-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
2	city_festival	city-festival-01	/assets/event-visuals/city-festival-01.webp	1448x1086	ready	accepted_phase1	city-festival-01-16x9	/assets/event-visuals/city-festival-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
3	music_stage	music-stage-01	/assets/event-visuals/music-stage-01.webp	1448x1086	ready	accepted_phase1	music-stage-01-16x9	/assets/event-visuals/music-stage-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
4	culture_exhibition	culture-exhibition-01	/assets/event-visuals/culture-exhibition-01.webp	1448x1086	ready	accepted_phase1	culture-exhibition-01-16x9	/assets/event-visuals/culture-exhibition-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
5	kids_family	kids-family-01	/assets/event-visuals/kids-family-01.webp	1536x1024	ready	accepted_phase1	kids-family-01-16x9	/assets/event-visuals/kids-family-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
6	creative_workshop	creative-workshop-01	/assets/event-visuals/creative-workshop-01.webp	1448x1086	ready	accepted_phase1	creative-workshop-01-16x9	/assets/event-visuals/creative-workshop-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
7	sport_active	sport-active-01	/assets/event-visuals/sport-active-01.webp	1448x1086	ready	accepted_phase1	sport-active-01-16x9	/assets/event-visuals/sport-active-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
8	outdoor_nature	outdoor-nature-01	/assets/event-visuals/outdoor-nature-01.webp	1448x1086	ready	accepted_phase1	outdoor-nature-01-16x9	/assets/event-visuals/outdoor-nature-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
9	city_walk	city-walk-01	/assets/event-visuals/city-walk-01.webp	1448x1086	ready	accepted_phase1	city-walk-01-16x9	/assets/event-visuals/city-walk-01-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
10	default_city	default-city-02	/assets/event-visuals/default-city-02.webp	1448x1086	ready	accepted_phase1	default-city-02-16x9	/assets/event-visuals/default-city-02-16x9.webp	1200x675	ready	ai_generated	ai_generated_symbolic_reviewed	remaster_existing_accepted_style_to_16_9_card_asset	Do not overwrite current asset. Generate/recreate a 16:9 card-safe version based on the accepted visual style; after visual review, add as ready and downgrade old non-16:9 asset to usable/legacy or keep only as historical reference.
